        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 01:49:40       23.06        29.99
2018-01-15 01:49:41       23.09        29.99
2018-01-15 01:49:42       23.15        29.99
2018-01-15 01:49:43       23.18        29.99
2018-01-15 01:49:44       23.22        29.99
2018-01-15 01:49:45       23.26        29.99
2018-01-15 01:49:46       23.31        29.99
2018-01-15 01:49:47       23.35        29.99
2018-01-15 01:49:48       23.39        29.99
2018-01-15 01:49:49       23.45        29.99
2018-01-15 01:49:50       23.48        29.99
2018-01-15 01:49:51       23.53        29.99
2018-01-15 01:49:52       23.57        29.99
2018-01-15 01:49:53       23.61        29.99
2018-01-15 01:49:54       23.66        29.99
2018-01-15 01:49:55       23.69        29.99
2018-01-15 01:49:56       23.74        29.99
2018-01-15 01:49:57       23.78        29.99
2018-01-15 01:49:58       23.82        29.99
2018-01-15 01:49:59       23.87        29.99
2018-01-15 01:50:00       23.91        29.99
2018-01-15 01:50:01       23.95        29.99
2018-01-15 01:50:02          24        29.99
2018-01-15 01:50:03       24.04        29.99
2018-01-15 01:50:04        24.1        29.99
2018-01-15 01:50:05       24.12        29.99
2018-01-15 01:50:06       24.17        29.99
2018-01-15 01:50:07       24.21        29.99
2018-01-15 01:50:08       24.24        29.99
2018-01-15 01:50:09        24.3        29.99
2018-01-15 01:50:10       24.33        29.99
2018-01-15 01:50:11       24.38        29.99
2018-01-15 01:50:12       24.43        29.99
2018-01-15 01:50:13       24.46        29.99
2018-01-15 01:50:14       24.52        29.99
2018-01-15 01:50:15       24.55        29.99
2018-01-15 01:50:16        24.6        29.99
2018-01-15 01:50:17       24.64        29.99
2018-01-15 01:50:18       24.69        29.99
2018-01-15 01:50:19       24.73        29.99
2018-01-15 01:50:20       24.77        29.99
2018-01-15 01:50:21       24.82        29.99
2018-01-15 01:50:22       24.86        29.99
2018-01-15 01:50:23        24.9        29.99
2018-01-15 01:50:24       24.95        29.99
2018-01-15 01:50:25       24.98        29.99
2018-01-15 01:50:26       25.04        29.99
2018-01-15 01:50:27       25.08        29.99
2018-01-15 01:50:28       25.11        29.99
2018-01-15 01:50:29       25.17        29.99
2018-01-15 01:50:30        25.2        29.99
2018-01-15 01:50:31       25.25        29.99
2018-01-15 01:50:32        25.3        29.99
2018-01-15 01:50:33       25.33        29.99
2018-01-15 01:50:34       25.39        29.99
2018-01-15 01:50:35       25.42        29.99
2018-01-15 01:50:36       25.46        29.99
2018-01-15 01:50:37       25.51        29.99
2018-01-15 01:50:38       25.55        29.99
2018-01-15 01:50:39        25.6        29.99
2018-01-15 01:50:40       25.64        29.99
2018-01-15 01:50:41       25.68        29.99
2018-01-15 01:50:42       25.72        29.99
2018-01-15 01:50:43       25.76        29.99
2018-01-15 01:50:44       25.82        29.99
2018-01-15 01:50:45       25.85        29.99
2018-01-15 01:50:46        25.9        29.99
2018-01-15 01:50:47       25.94        29.99
2018-01-15 01:50:48       25.98        29.99
2018-01-15 01:50:49       26.03        29.99
2018-01-15 01:50:50       26.08        29.99
2018-01-15 01:50:51       26.11        29.99
2018-01-15 01:50:52       26.16        29.99
2018-01-15 01:50:53       26.22        29.99
2018-01-15 01:50:54       26.25        29.99
2018-01-15 01:50:55       26.28        29.99
2018-01-15 01:50:56       26.35        29.99
2018-01-15 01:50:57       26.37        29.99
2018-01-15 01:50:58       26.42        29.99
2018-01-15 01:50:59       26.46        29.99
2018-01-15 01:51:00        26.5        29.99
2018-01-15 01:51:01       26.56        29.99
2018-01-15 01:51:02       26.58        29.99
2018-01-15 01:51:03       26.63        29.99
2018-01-15 01:51:04       26.68        29.99
2018-01-15 01:51:05       26.71        29.99
2018-01-15 01:51:06       26.77        29.99
2018-01-15 01:51:07        26.8        29.99
2018-01-15 01:51:08       26.85        29.99
2018-01-15 01:51:09       26.89        29.99
2018-01-15 01:51:10       26.93        29.99
2018-01-15 01:51:11       26.97        29.99
2018-01-15 01:51:12       27.02        29.99
2018-01-15 01:51:13       27.07        29.99
2018-01-15 01:51:14       27.11        29.99
2018-01-15 01:51:15       27.14        29.99
2018-01-15 01:51:16        27.2        29.99
2018-01-15 01:51:17       27.23        29.99
2018-01-15 01:51:18       27.28        29.99
2018-01-15 01:51:19       27.32        29.99
2018-01-15 01:51:20       27.36        29.99
2018-01-15 01:51:21       27.41        29.99
2018-01-15 01:51:22       27.45        29.99
2018-01-15 01:51:23       27.49        29.99
2018-01-15 01:51:24       27.55        29.99
2018-01-15 01:51:25       27.57        29.99
2018-01-15 01:51:26       27.63        29.99
2018-01-15 01:51:27       27.66        29.99
2018-01-15 01:51:28       27.71        29.99
2018-01-15 01:51:29       27.76        29.99
2018-01-15 01:51:30       27.79        29.99
2018-01-15 01:51:31       27.84        29.99
2018-01-15 01:51:32       27.89        29.99
2018-01-15 01:51:33       27.92        29.99
2018-01-15 01:51:34       27.98        29.99
2018-01-15 01:51:35       28.01        29.99
2018-01-15 01:51:36       28.07        29.99
2018-01-15 01:51:37        28.1        29.99
2018-01-15 01:51:38       28.14        29.99
2018-01-15 01:51:39        28.2        29.99
2018-01-15 01:51:40       28.23        29.99
2018-01-15 01:51:41       28.29        29.99
2018-01-15 01:51:42       28.34        29.99
2018-01-15 01:51:43       28.36        29.99
2018-01-15 01:51:44       28.41        29.99
2018-01-15 01:51:45       28.46        29.99
2018-01-15 01:51:46       28.49        29.99
2018-01-15 01:51:47       28.54        29.99
2018-01-15 01:51:48       28.58        29.99
2018-01-15 01:51:49       28.63        29.99
2018-01-15 01:51:50       28.67        29.99
2018-01-15 01:51:51        28.7        29.99
2018-01-15 01:51:52       28.76        29.99
2018-01-15 01:51:53        28.8        29.99
2018-01-15 01:51:54       28.83        29.99
2018-01-15 01:51:55       28.89        29.99
2018-01-15 01:51:56       28.92        29.99
2018-01-15 01:51:57       28.97        29.99
2018-01-15 01:51:58       29.03        29.99
2018-01-15 01:52:00       29.05        29.99
2018-01-15 01:52:01       29.09        29.99
2018-01-15 01:52:02       29.11        29.99
2018-01-15 01:52:03       29.13        29.99
2018-01-15 01:52:04       29.16        29.99
2018-01-15 01:52:05       29.18        29.99
2018-01-15 01:52:06        29.2        29.99
2018-01-15 01:52:07       29.23        29.99
2018-01-15 01:52:08       29.25        29.99
2018-01-15 01:52:09       29.28        29.99
2018-01-15 01:52:10        29.3        29.99
2018-01-15 01:52:11       29.32        29.99
2018-01-15 01:52:12       29.36        29.99
2018-01-15 01:52:13       29.38        29.99
2018-01-15 01:52:14        29.4        29.99
2018-01-15 01:52:15       29.42        29.99
2018-01-15 01:52:16       29.45        29.99
2018-01-15 01:52:17       29.48        29.99
2018-01-15 01:52:18        29.5        29.99
2018-01-15 01:52:19       29.51        29.99
2018-01-15 01:52:21       29.53        29.99
2018-01-15 01:52:23       29.55        29.99
2018-01-15 01:52:25       29.57        29.99
2018-01-15 01:52:27       29.59        29.99
2018-01-15 01:52:29        29.6        29.99
2018-01-15 01:52:30       29.62        29.99
2018-01-15 01:52:33       29.64        29.99
2018-01-15 01:52:34       29.65        29.99
2018-01-15 01:52:36       29.67        29.99
2018-01-15 01:52:38       29.69        29.99
2018-01-15 01:52:40       29.71        29.99
2018-01-15 01:52:43       29.74        29.99
2018-01-15 01:52:45       29.76        29.99
2018-01-15 01:52:48       29.78        29.99
2018-01-15 01:52:50        29.8        29.99
2018-01-15 01:52:51       29.81        29.99
2018-01-15 01:52:56       29.83        29.99
2018-01-15 01:53:00       29.85        29.99
2018-01-15 01:53:04       29.87        29.99
2018-01-15 01:53:08       29.89        29.99
2018-01-15 01:53:10        29.9        29.99
2018-01-15 01:53:15       29.92        29.99
2018-01-15 01:53:18       29.94        29.99
2018-01-15 01:53:23       29.96        29.99
2018-01-15 01:53:28       29.98        29.99
2018-01-15 01:53:29       29.99        29.99
2018-01-15 10:33:28       29.98        29.99
2018-01-15 10:33:29       29.97        29.99
2018-01-15 10:33:30       29.95        29.99
2018-01-15 10:33:31       29.93        29.99
2018-01-15 10:33:33       29.89        29.99
2018-01-15 10:33:34       29.87        29.99
2018-01-15 10:33:35       29.85        29.99
2018-01-15 10:33:36       29.81        29.99
2018-01-15 10:33:37       29.78        29.99
2018-01-15 10:33:38       29.76        29.99
2018-01-15 10:33:39       29.73        29.99
2018-01-15 10:33:40       29.69        29.99
2018-01-15 10:33:41       29.66        29.99
2018-01-15 10:33:42       29.63        29.99
2018-01-15 10:33:43       29.59        29.99
2018-01-15 10:33:44       29.54        29.99
2018-01-15 10:33:45       29.52        29.99
2018-01-15 10:33:46       29.48        29.99
2018-01-15 10:33:47       29.43        29.99
2018-01-15 10:33:48       29.39        29.99
2018-01-15 10:33:49       29.35        29.99
2018-01-15 10:33:50       29.29        29.99
2018-01-15 10:33:51       29.26        29.99
2018-01-15 10:33:52       29.21        29.99
2018-01-15 10:33:53       29.16        29.99
2018-01-15 10:33:54       29.12        29.99
2018-01-15 10:33:55       29.09        29.99
2018-01-15 10:33:56       29.04        29.99
2018-01-15 10:33:57          29        29.99
2018-01-15 10:33:58       28.96        29.99
2018-01-15 10:33:59       28.91        29.99
2018-01-15 10:34:00       28.85        29.99
2018-01-15 10:34:01       28.83        29.99
2018-01-15 10:34:02       28.78        29.99
2018-01-15 10:34:03       28.73        29.99
2018-01-15 10:34:04        28.7        29.99
2018-01-15 10:34:05       28.64        29.99
2018-01-15 10:34:06        28.6        29.99
2018-01-15 10:34:07       28.56        29.99
2018-01-15 10:34:08       28.51        29.99
2018-01-15 10:34:09       28.45        29.99
2018-01-15 10:34:10       28.43        29.99
2018-01-15 10:34:11        28.4        29.99
2018-01-15 10:34:12       28.33        29.99
2018-01-15 10:34:13       28.31        29.99
2018-01-15 10:34:14       28.27        29.99
2018-01-15 10:34:15        28.2        29.99
2018-01-15 10:34:16       28.14        29.99
2018-01-15 10:34:17       28.13        29.99
2018-01-15 10:34:18       28.09        29.99
2018-01-15 10:34:19       28.03        29.99
2018-01-15 10:34:20       27.97        29.99
2018-01-15 10:34:21       27.94        29.99
2018-01-15 10:34:22       27.93        29.99
2018-01-15 10:34:23       27.85        29.99
2018-01-15 10:34:24       27.81        29.99
2018-01-15 10:34:25       27.79        29.99
2018-01-15 10:34:26       27.75        29.99
2018-01-15 10:34:27       27.68        29.99
2018-01-15 10:34:28       27.62        29.99
2018-01-15 10:34:29       27.59        29.99
2018-01-15 10:34:30       27.55        29.99
2018-01-15 10:34:31       27.51        29.99
2018-01-15 10:34:32       27.49        29.99
2018-01-15 10:34:33       27.43        29.99
2018-01-15 10:34:34       27.36        29.99
2018-01-15 10:34:35        27.3        29.99
2018-01-15 10:34:36       27.27        29.99
2018-01-15 10:34:37       27.25        29.99
2018-01-15 10:34:38       27.22        29.99
2018-01-15 10:34:39       27.15        29.99
2018-01-15 10:34:40        27.1        29.99
2018-01-15 10:34:42       27.06        29.99
2018-01-15 10:34:43       26.97        29.99
2018-01-15 10:34:44        26.9        29.99
2018-01-15 10:35:41       26.89        29.99
2018-01-15 10:35:42       26.88        29.99
2018-01-15 10:35:44       26.85        29.99
2018-01-15 10:35:45       26.84        29.99
2018-01-15 10:35:47       26.81        29.99
2018-01-15 10:35:48       26.78        29.99
2018-01-15 10:35:49       26.77        29.99
2018-01-15 10:35:50       26.75        29.99
2018-01-15 10:35:51       26.73        29.99
2018-01-15 10:35:52        26.7        29.99
2018-01-15 10:35:53       26.67        29.99
2018-01-15 10:35:54       26.65        29.99
2018-01-15 10:35:55       26.61        29.99
2018-01-15 10:35:56       26.58        29.99
2018-01-15 10:35:57       26.56        29.99
2018-01-15 10:35:58       26.52        29.99
2018-01-15 10:35:59       26.48        29.99
2018-01-15 10:36:00       26.45        29.99
2018-01-15 10:36:01       26.41        29.99
2018-01-15 10:36:02       26.37        29.99
2018-01-15 10:36:03       26.33        29.99
2018-01-15 10:36:04       26.29        29.99
2018-01-15 10:36:05       26.25        29.99
2018-01-15 10:36:06       26.21        29.99
2018-01-15 10:36:07       26.17        29.99
2018-01-15 10:36:08       26.11        29.99
2018-01-15 10:36:09       26.06        29.99
2018-01-15 10:36:10       26.04        29.99
2018-01-15 10:36:11       25.98        29.99
2018-01-15 10:36:12       25.92        29.99
2018-01-15 10:36:13       25.91        29.99
2018-01-15 10:36:16       25.85        29.99
2018-01-15 10:36:17       25.84        29.99
2018-01-15 10:36:18       25.82        29.99
2018-01-15 10:36:19       25.78        29.99
2018-01-15 10:36:20       25.77        29.99
2018-01-15 10:36:21       25.75        29.99
2018-01-15 10:36:22       25.72        29.99
2018-01-15 10:36:23        25.7        29.99
2018-01-15 10:36:24       25.67        29.99
2018-01-15 10:36:25       25.65        29.99
2018-01-15 10:36:26       25.63        29.99
2018-01-15 10:36:27        25.6        29.99
2018-01-15 10:36:28       25.58        29.99
2018-01-15 10:36:29       25.55        29.99
2018-01-15 10:36:30       25.53        29.99
